,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
PAobs_intercept,-6.323,0.611,-7.521,-6.323,-5.126,-6.323,0.000
POobs_intercept,-21.014,0.311,-21.624,-21.014,-20.405,-21.014,0.000
distance_road,-1.720,0.418,-2.539,-1.720,-0.901,-1.720,0.000
humidity_meanAnn,0.158,0.247,-0.326,0.158,0.642,0.158,0.000
precip_warmQtr,0.737,0.301,0.148,0.737,1.326,0.737,0.000
soil_drainage,-0.623,0.134,-0.885,-0.623,-0.360,-0.623,0.000
solRad_winter,-0.644,0.232,-1.099,-0.644,-0.189,-0.644,0.000
temp_minColdMonth,0.187,0.318,-0.437,0.187,0.811,0.187,0.000
temp_annRange,0.333,0.385,-0.422,0.333,1.089,0.333,0.000
topo_wetness,-0.101,0.227,-0.546,-0.101,0.344,-0.101,0.000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
