"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"POobs_intercept",-21.4211155615914,0.391526537241998,-22.1884934738749,-21.4211155615914,-20.6537376493079,-21.4211155615914,0
"topo_wetness",-0.127599305369819,0.250960719698814,-0.619473277704429,-0.127599305369819,0.36427466696479,-0.127599305369819,0
"precip_warmQtr",0.959195004293528,0.357165465928495,0.259163554280832,0.959195004293528,1.65922645430622,0.959195004293528,0
"solRad_winter",-0.714289056770068,0.253049379336348,-1.21025672677179,-0.714289056770068,-0.218321386768343,-0.714289056770068,0
"temp_minColdMonth",0.304166731174998,0.415699963111123,-0.510590225213284,0.304166731174998,1.11892368756328,0.304166731174998,0
"temp_annRange",0.394779129020684,0.50551380510326,-0.596009723053598,0.394779129020684,1.38556798109497,0.394779129020684,0
"humidity_meanAnn",0.162567707780191,0.279849776027413,-0.385927774527772,0.162567707780191,0.711063190088154,0.162567707780191,0
"distance_road",-2.42276223009196,0.578675851703229,-3.55694605859301,-2.42276223009196,-1.28857840159091,-2.42276223009196,0
"soil_drainage",-0.649195221991867,0.137398725755391,-0.918491776098526,-0.649195221991867,-0.379898667885208,-0.649195221991867,0
"PAobs_intercept",-6.64416250557562,0.656472720626778,-7.93082539533592,-6.64416250557562,-5.35749961581532,-6.64416250557562,0

