,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
Intercept,-21.934,0.573,-23.058,-21.934,-20.811,-21.934,0
froad,-2.698,0.831,-4.327,-2.698,-1.070,-2.698,0
fhumid,0.475,0.331,-0.174,0.475,1.124,0.475,0
fprecip,1.367,0.413,0.558,1.367,2.176,1.367,0
fdrain,-0.118,0.174,-0.458,-0.118,0.223,-0.118,0
fsolar,-0.619,0.278,-1.163,-0.619,-0.075,-0.619,0
fTmin,1.003,0.553,-0.081,1.003,2.088,1.003,0
fTrange,1.231,0.675,-0.092,1.231,2.553,1.231,0
fwet,0.068,0.277,-0.475,0.068,0.612,0.068,0
