"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"froad",-2.35776731831093,0.635563345109421,-3.6034485851021,-2.35776731831093,-1.11208605151976,-2.35776731831093,0
"fTmin",0.462223464821722,0.455860817652751,-0.431247320087018,0.462223464821722,1.35569424973046,0.462223464821722,0
"fprecip",1.00961506021375,0.377735456422053,0.269267169655722,1.00961506021375,1.74996295077178,1.00961506021375,0
"fhumid",0.399477751287993,0.309852041277628,-0.207821090387803,0.399477751287993,1.00677659296379,0.399477751287993,0
"fsolar",-0.61833411594884,0.264922000698476,-1.13757169623144,-0.61833411594884,-0.0990965356662415,-0.61833411594884,0
"fTrange",0.629838816968744,0.563647167058086,-0.474889330881399,0.629838816968744,1.73456696481889,0.629838816968744,0
"fwet",-0.201809064460236,0.251175426781015,-0.694103854943348,-0.201809064460236,0.290485726022877,-0.201809064460236,0
"fdrain",-0.591450643177945,0.131718044480597,-0.849613266574041,-0.591450643177945,-0.333288019781849,-0.591450643177945,0
"Intercept",-21.2353000050204,0.421272091322759,-22.060978132025,-21.2353000050204,-20.4096218780159,-21.2353000050204,0
